,Date,CCG,Pollutant,Indicator Value (R µg/m3)
1129,2017,East Berkshire,PM10 particulate matter (Hourly measured),17.412888908578026
1130,2018,East Berkshire,PM10 particulate matter (Hourly measured),17.52200363008815
1131,2019,East Berkshire,PM10 particulate matter (Hourly measured),17.737270440184556
1132,2020,East Berkshire,PM10 particulate matter (Hourly measured),18.34778398288618
1133,2004,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),26.158434639062733
1134,2005,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),30.948655092243815
1135,2006,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),26.324389623428182
1136,2007,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),25.631845449716387
1137,2008,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),25.863771990371028
1138,2009,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),20.22278196785961
1139,2011,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),32.77238052568698
1140,2012,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),37.70916463911675
1141,2013,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),26.49792140591713
1142,2014,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),28.406974637681166
1143,2015,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),25.38471751177979
1144,2016,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),26.288016563869167
1145,2017,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),26.83732760792819
1146,2018,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),25.708968632251448
1147,2019,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),22.7276708023214
1148,2020,Hammersmith and Fulham,PM10 particulate matter (Hourly measured),22.318334633905586
1149,2004,Hillingdon,PM10 particulate matter (Hourly measured),26.43231135727588
1150,2005,Hillingdon,PM10 particulate matter (Hourly measured),25.764295038622684
1151,2006,Hillingdon,PM10 particulate matter (Hourly measured),25.902121300103524
1152,2007,Hillingdon,PM10 particulate matter (Hourly measured),26.47356242129526
1153,2008,Hillingdon,PM10 particulate matter (Hourly measured),23.820121185762172
1154,2009,Hillingdon,PM10 particulate matter (Hourly measured),23.748885705232066
1155,2010,Hillingdon,PM10 particulate matter (Hourly measured),21.2937498974638
1156,2011,Hillingdon,PM10 particulate matter (Hourly measured),24.918382843190855
1157,2012,Hillingdon,PM10 particulate matter (Hourly measured),20.82588014409068
1158,2013,Hillingdon,PM10 particulate matter (Hourly measured),22.727336984614503
1159,2014,Hillingdon,PM10 particulate matter (Hourly measured),21.32522857788094
1160,2015,Hillingdon,PM10 particulate matter (Hourly measured),18.931073294295036
1161,2016,Hillingdon,PM10 particulate matter (Hourly measured),19.543862062638652
1162,2017,Hillingdon,PM10 particulate matter (Hourly measured),18.347888394330116
1163,2018,Hillingdon,PM10 particulate matter (Hourly measured),18.876481195582745
1164,2019,Hillingdon,PM10 particulate matter (Hourly measured),17.166189885552562
1165,2020,Hillingdon,PM10 particulate matter (Hourly measured),16.25536796550497
1166,2004,Hounslow,PM10 particulate matter (Hourly measured),
1167,2005,Hounslow,PM10 particulate matter (Hourly measured),
1168,2006,Hounslow,PM10 particulate matter (Hourly measured),
1169,2007,Hounslow,PM10 particulate matter (Hourly measured),
1170,2008,Hounslow,PM10 particulate matter (Hourly measured),
1171,2009,Hounslow,PM10 particulate matter (Hourly measured),
1172,2010,Hounslow,PM10 particulate matter (Hourly measured),
1173,2011,Hounslow,PM10 particulate matter (Hourly measured),
1174,2012,Hounslow,PM10 particulate matter (Hourly measured),
1175,2013,Hounslow,PM10 particulate matter (Hourly measured),
1176,2014,Hounslow,PM10 particulate matter (Hourly measured),
1177,2015,Hounslow,PM10 particulate matter (Hourly measured),
1178,2016,Hounslow,PM10 particulate matter (Hourly measured),
1179,2017,Hounslow,PM10 particulate matter (Hourly measured),
1180,2018,Hounslow,PM10 particulate matter (Hourly measured),
1181,2019,Hounslow,PM10 particulate matter (Hourly measured),
1182,2020,Hounslow,PM10 particulate matter (Hourly measured),
1183,2004,Oxford,PM10 particulate matter (Hourly measured),27.78944357738571
1184,2005,Oxford,PM10 particulate matter (Hourly measured),25.59443373457876
1185,2006,Oxford,PM10 particulate matter (Hourly measured),28.368754538578926
1186,2007,Oxford,PM10 particulate matter (Hourly measured),25.961704907483877
1187,2008,Oxford,PM10 particulate matter (Hourly measured),24.872507720832754
1188,2009,Oxford,PM10 particulate matter (Hourly measured),25.106132877001272
1189,2010,Oxford,PM10 particulate matter (Hourly measured),23.630868040363435
1190,2011,Oxford,PM10 particulate matter (Hourly measured),22.91341079295766
1191,2012,Oxford,PM10 particulate matter (Hourly measured),20.511618587089643
1192,2013,Oxford,PM10 particulate matter (Hourly measured),22.2902436294776
1193,2014,Oxford,PM10 particulate matter (Hourly measured),19.60185019192945
1194,2015,Oxford,PM10 particulate matter (Hourly measured),21.289544773837143
1195,2016,Oxford,PM10 particulate matter (Hourly measured),19.782039379558363
1196,2017,Oxford,PM10 particulate matter (Hourly measured),17.10285982302336
1197,2018,Oxford,PM10 particulate matter (Hourly measured),19.16078902801334
1198,2019,Oxford,PM10 particulate matter (Hourly measured),17.388310856363844
1199,2020,Oxford,PM10 particulate matter (Hourly measured),15.914070344894553
1200,2006,Oxfordshire,PM10 particulate matter (Hourly measured),
1201,2007,Oxfordshire,PM10 particulate matter (Hourly measured),
1202,2008,Oxfordshire,PM10 particulate matter (Hourly measured),
1203,2009,Oxfordshire,PM10 particulate matter (Hourly measured),
1204,2010,Oxfordshire,PM10 particulate matter (Hourly measured),
1205,2011,Oxfordshire,PM10 particulate matter (Hourly measured),
1206,2012,Oxfordshire,PM10 particulate matter (Hourly measured),
1207,2013,Oxfordshire,PM10 particulate matter (Hourly measured),
1208,2014,Oxfordshire,PM10 particulate matter (Hourly measured),
1209,2015,Oxfordshire,PM10 particulate matter (Hourly measured),
1210,2016,Oxfordshire,PM10 particulate matter (Hourly measured),
1211,2017,Oxfordshire,PM10 particulate matter (Hourly measured),
1212,2018,Oxfordshire,PM10 particulate matter (Hourly measured),
1213,2019,Oxfordshire,PM10 particulate matter (Hourly measured),
1214,2020,Oxfordshire,PM10 particulate matter (Hourly measured),
1215,2006,Reading,PM10 particulate matter (Hourly measured),
1216,2007,Reading,PM10 particulate matter (Hourly measured),31.676369073406008
1217,2008,Reading,PM10 particulate matter (Hourly measured),24.531072679147282
1218,2009,Reading,PM10 particulate matter (Hourly measured),24.829365382352865
1219,2010,Reading,PM10 particulate matter (Hourly measured),25.55291821817796
1220,2011,Reading,PM10 particulate matter (Hourly measured),29.421368403118368
1221,2012,Reading,PM10 particulate matter (Hourly measured),28.2837504398242
1222,2013,Reading,PM10 particulate matter (Hourly measured),23.62431741964761
1223,2014,Reading,PM10 particulate matter (Hourly measured),28.024767142583244
1224,2015,Reading,PM10 particulate matter (Hourly measured),25.26028931555196
1225,2016,Reading,PM10 particulate matter (Hourly measured),20.65442814619035
1226,2017,Reading,PM10 particulate matter (Hourly measured),21.010123048735174
1227,2018,Reading,PM10 particulate matter (Hourly measured),23.567503608723165
1228,2019,Reading,PM10 particulate matter (Hourly measured),22.750825744725446
1229,2020,Reading,PM10 particulate matter (Hourly measured),19.42197030796853
1230,2004,South West London,PM10 particulate matter (Hourly measured),22.974463454420324
1231,2005,South West London,PM10 particulate matter (Hourly measured),23.207930104062257
1232,2006,South West London,PM10 particulate matter (Hourly measured),22.972399926988615
1233,2007,South West London,PM10 particulate matter (Hourly measured),21.57778888112926
1234,2008,South West London,PM10 particulate matter (Hourly measured),20.151395679393723
1235,2009,South West London,PM10 particulate matter (Hourly measured),20.70153171500894
1236,2010,South West London,PM10 particulate matter (Hourly measured),20.078349973785002
1237,2011,South West London,PM10 particulate matter (Hourly measured),22.718132384860333
1238,2012,South West London,PM10 particulate matter (Hourly measured),19.472033955541164
1239,2013,South West London,PM10 particulate matter (Hourly measured),21.258820343384826
1240,2014,South West London,PM10 particulate matter (Hourly measured),17.8348666324337
1241,2015,South West London,PM10 particulate matter (Hourly measured),18.75926506187874
1242,2016,South West London,PM10 particulate matter (Hourly measured),20.061102637558445
1243,2017,South West London,PM10 particulate matter (Hourly measured),19.357674085804643
1244,2018,South West London,PM10 particulate matter (Hourly measured),19.636448477796364
1245,2019,South West London,PM10 particulate matter (Hourly measured),19.308374855572463
1246,2020,South West London,PM10 particulate matter (Hourly measured),17.851744709696792
1247,2004,Surrey Heartlands,PM10 particulate matter (Hourly measured),21.472581219594478
1248,2005,Surrey Heartlands,PM10 particulate matter (Hourly measured),22.627333663541854
1249,2006,Surrey Heartlands,PM10 particulate matter (Hourly measured),22.51965087704162
1250,2007,Surrey Heartlands,PM10 particulate matter (Hourly measured),22.742162037786258
1251,2008,Surrey Heartlands,PM10 particulate matter (Hourly measured),29.40550481742796
1252,2009,Surrey Heartlands,PM10 particulate matter (Hourly measured),23.472568561809798
1253,2010,Surrey Heartlands,PM10 particulate matter (Hourly measured),24.691393315316926
1254,2011,Surrey Heartlands,PM10 particulate matter (Hourly measured),22.431665076979094
1255,2012,Surrey Heartlands,PM10 particulate matter (Hourly measured),21.31782522601428
1256,2013,Surrey Heartlands,PM10 particulate matter (Hourly measured),21.68049644431042
1257,2014,Surrey Heartlands,PM10 particulate matter (Hourly measured),18.961303204552365
1258,2015,Surrey Heartlands,PM10 particulate matter (Hourly measured),17.297834529344204
1259,2016,Surrey Heartlands,PM10 particulate matter (Hourly measured),22.10954053558864
1260,2017,Surrey Heartlands,PM10 particulate matter (Hourly measured),18.636549568420335
1261,2018,Surrey Heartlands,PM10 particulate matter (Hourly measured),18.511909173033953
1262,2019,Surrey Heartlands,PM10 particulate matter (Hourly measured),18.489248316762623
1263,2020,Surrey Heartlands,PM10 particulate matter (Hourly measured),13.300470081324182
1264,2004,Watford,PM10 particulate matter (Hourly measured),24.2009173885897
1265,2005,Watford,PM10 particulate matter (Hourly measured),24.798499136129166
1266,2006,Watford,PM10 particulate matter (Hourly measured),23.5305517946566
1267,2007,Watford,PM10 particulate matter (Hourly measured),23.221057177476002
1268,2008,Watford,PM10 particulate matter (Hourly measured),21.123615861857893
1269,2009,Watford,PM10 particulate matter (Hourly measured),21.864278641480237
1270,2010,Watford,PM10 particulate matter (Hourly measured),22.718199554223887
1271,2011,Watford,PM10 particulate matter (Hourly measured),24.51266701443069
1272,2012,Watford,PM10 particulate matter (Hourly measured),21.794203034165484
1273,2013,Watford,PM10 particulate matter (Hourly measured),23.628673170466953
1274,2014,Watford,PM10 particulate matter (Hourly measured),20.767375200209635
1275,2015,Watford,PM10 particulate matter (Hourly measured),21.838145406792478
1276,2016,Watford,PM10 particulate matter (Hourly measured),14.269256335847759
1277,2017,Watford,PM10 particulate matter (Hourly measured),13.761175309263376
1278,2018,Watford,PM10 particulate matter (Hourly measured),14.98304824030477
1279,2019,Watford,PM10 particulate matter (Hourly measured),15.05591437388225
1280,2020,Watford,PM10 particulate matter (Hourly measured),13.758944803816775
1281,2020,Buckinghamshire,PM2.5 particulate matter (Hourly measured),
1282,2004,Ealing,PM2.5 particulate matter (Hourly measured),15.391342273253397
1283,2005,Ealing,PM2.5 particulate matter (Hourly measured),21.009842207540355
1284,2006,Ealing,PM2.5 particulate matter (Hourly measured),18.450044804007803
1285,2007,Ealing,PM2.5 particulate matter (Hourly measured),
1286,2008,Ealing,PM2.5 particulate matter (Hourly measured),11.795320539967483
1287,2009,Ealing,PM2.5 particulate matter (Hourly measured),11.207386516207691
1288,2010,Ealing,PM2.5 particulate matter (Hourly measured),11.375742418228214
1289,2011,Ealing,PM2.5 particulate matter (Hourly measured),13.148969639523106
1290,2012,Ealing,PM2.5 particulate matter (Hourly measured),9.808660086371969
1291,2013,Ealing,PM2.5 particulate matter (Hourly measured),9.885007293789224
1292,2014,Ealing,PM2.5 particulate matter (Hourly measured),11.0727294379344
1293,2015,Ealing,PM2.5 particulate matter (Hourly measured),11.516187591693607
1294,2016,Ealing,PM2.5 particulate matter (Hourly measured),12.924810606060607
1295,2017,Ealing,PM2.5 particulate matter (Hourly measured),
1296,2018,Ealing,PM2.5 particulate matter (Hourly measured),
1297,2019,Ealing,PM2.5 particulate matter (Hourly measured),
1298,2020,Ealing,PM2.5 particulate matter (Hourly measured),
1299,2004,East Berkshire,PM2.5 particulate matter (Hourly measured),
1300,2005,East Berkshire,PM2.5 particulate matter (Hourly measured),10.116928683719937
1301,2006,East Berkshire,PM2.5 particulate matter (Hourly measured),8.211002494757558
1302,2007,East Berkshire,PM2.5 particulate matter (Hourly measured),10.1113342936477
1303,2008,East Berkshire,PM2.5 particulate matter (Hourly measured),8.040837159745239
1304,2009,East Berkshire,PM2.5 particulate matter (Hourly measured),9.241056124336303
1305,2010,East Berkshire,PM2.5 particulate matter (Hourly measured),7.212730283467131
1306,2011,East Berkshire,PM2.5 particulate matter (Hourly measured),11.023208946257276
1307,2012,East Berkshire,PM2.5 particulate matter (Hourly measured),9.032873535724471
1308,2013,East Berkshire,PM2.5 particulate matter (Hourly measured),8.848093391828135
1309,2014,East Berkshire,PM2.5 particulate matter (Hourly measured),7.685846437182931
1310,2015,East Berkshire,PM2.5 particulate matter (Hourly measured),6.439087096655967
1311,2016,East Berkshire,PM2.5 particulate matter (Hourly measured),5.721706686906419
1312,2017,East Berkshire,PM2.5 particulate matter (Hourly measured),6.64724855289963
1313,2018,East Berkshire,PM2.5 particulate matter (Hourly measured),6.40051623012495
1314,2019,East Berkshire,PM2.5 particulate matter (Hourly measured),6.671495808328704
1315,2020,East Berkshire,PM2.5 particulate matter (Hourly measured),7.578336794312527
1316,2004,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1317,2005,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1318,2006,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1319,2007,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1320,2008,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1321,2009,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1322,2011,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1323,2012,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1324,2013,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1325,2014,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1326,2015,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1327,2016,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1328,2017,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1329,2018,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),
1330,2019,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),15.103699552241885
1331,2020,Hammersmith and Fulham,PM2.5 particulate matter (Hourly measured),13.631647532641097
1332,2004,Hillingdon,PM2.5 particulate matter (Hourly measured),12.248355810642499
1333,2005,Hillingdon,PM2.5 particulate matter (Hourly measured),12.105307275202694
1334,2006,Hillingdon,PM2.5 particulate matter (Hourly measured),12.929494478950998
1335,2007,Hillingdon,PM2.5 particulate matter (Hourly measured),13.293053087253721
1336,2008,Hillingdon,PM2.5 particulate matter (Hourly measured),9.66325123808202
1337,2009,Hillingdon,PM2.5 particulate matter (Hourly measured),9.86844515587707
1338,2010,Hillingdon,PM2.5 particulate matter (Hourly measured),9.49128123940921
1339,2011,Hillingdon,PM2.5 particulate matter (Hourly measured),11.23843413246185
1340,2012,Hillingdon,PM2.5 particulate matter (Hourly measured),8.59516415766024
1341,2013,Hillingdon,PM2.5 particulate matter (Hourly measured),9.73434263500146
1342,2014,Hillingdon,PM2.5 particulate matter (Hourly measured),8.845459043264858
1343,2015,Hillingdon,PM2.5 particulate matter (Hourly measured),8.040034847403996
1344,2016,Hillingdon,PM2.5 particulate matter (Hourly measured),8.32646681812866
1345,2017,Hillingdon,PM2.5 particulate matter (Hourly measured),8.088831218252126
1346,2018,Hillingdon,PM2.5 particulate matter (Hourly measured),7.8786129109688785
1347,2019,Hillingdon,PM2.5 particulate matter (Hourly measured),7.945292151259446
1348,2020,Hillingdon,PM2.5 particulate matter (Hourly measured),6.760637012265761
1349,2004,Hounslow,PM2.5 particulate matter (Hourly measured),
1350,2005,Hounslow,PM2.5 particulate matter (Hourly measured),
1351,2006,Hounslow,PM2.5 particulate matter (Hourly measured),
1352,2007,Hounslow,PM2.5 particulate matter (Hourly measured),
1353,2008,Hounslow,PM2.5 particulate matter (Hourly measured),
1354,2009,Hounslow,PM2.5 particulate matter (Hourly measured),
1355,2010,Hounslow,PM2.5 particulate matter (Hourly measured),
1356,2011,Hounslow,PM2.5 particulate matter (Hourly measured),
1357,2012,Hounslow,PM2.5 particulate matter (Hourly measured),
1358,2013,Hounslow,PM2.5 particulate matter (Hourly measured),
1359,2014,Hounslow,PM2.5 particulate matter (Hourly measured),
1360,2015,Hounslow,PM2.5 particulate matter (Hourly measured),
1361,2016,Hounslow,PM2.5 particulate matter (Hourly measured),
1362,2017,Hounslow,PM2.5 particulate matter (Hourly measured),
1363,2018,Hounslow,PM2.5 particulate matter (Hourly measured),
1364,2019,Hounslow,PM2.5 particulate matter (Hourly measured),
1365,2020,Hounslow,PM2.5 particulate matter (Hourly measured),
1366,2004,Oxford,PM2.5 particulate matter (Hourly measured),
1367,2005,Oxford,PM2.5 particulate matter (Hourly measured),
1368,2006,Oxford,PM2.5 particulate matter (Hourly measured),
1369,2007,Oxford,PM2.5 particulate matter (Hourly measured),
1370,2008,Oxford,PM2.5 particulate matter (Hourly measured),
1371,2009,Oxford,PM2.5 particulate matter (Hourly measured),
1372,2010,Oxford,PM2.5 particulate matter (Hourly measured),
1373,2011,Oxford,PM2.5 particulate matter (Hourly measured),
1374,2012,Oxford,PM2.5 particulate matter (Hourly measured),
1375,2013,Oxford,PM2.5 particulate matter (Hourly measured),
1376,2014,Oxford,PM2.5 particulate matter (Hourly measured),
1377,2015,Oxford,PM2.5 particulate matter (Hourly measured),
1378,2016,Oxford,PM2.5 particulate matter (Hourly measured),
1379,2017,Oxford,PM2.5 particulate matter (Hourly measured),
1380,2018,Oxford,PM2.5 particulate matter (Hourly measured),
1381,2019,Oxford,PM2.5 particulate matter (Hourly measured),
1382,2020,Oxford,PM2.5 particulate matter (Hourly measured),
1383,2006,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1384,2007,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1385,2008,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1386,2009,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1387,2010,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1388,2011,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1389,2012,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1390,2013,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1391,2014,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1392,2015,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1393,2016,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1394,2017,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1395,2018,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1396,2019,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1397,2020,Oxfordshire,PM2.5 particulate matter (Hourly measured),
1398,2006,Reading,PM2.5 particulate matter (Hourly measured),
1399,2007,Reading,PM2.5 particulate matter (Hourly measured),
1400,2008,Reading,PM2.5 particulate matter (Hourly measured),
1401,2009,Reading,PM2.5 particulate matter (Hourly measured),
1402,2010,Reading,PM2.5 particulate matter (Hourly measured),
1403,2011,Reading,PM2.5 particulate matter (Hourly measured),
1404,2012,Reading,PM2.5 particulate matter (Hourly measured),
1405,2013,Reading,PM2.5 particulate matter (Hourly measured),
1406,2014,Reading,PM2.5 particulate matter (Hourly measured),
1407,2015,Reading,PM2.5 particulate matter (Hourly measured),
1408,2016,Reading,PM2.5 particulate matter (Hourly measured),
1409,2017,Reading,PM2.5 particulate matter (Hourly measured),
1410,2018,Reading,PM2.5 particulate matter (Hourly measured),
1411,2019,Reading,PM2.5 particulate matter (Hourly measured),
1412,2020,Reading,PM2.5 particulate matter (Hourly measured),
1413,2004,South West London,PM2.5 particulate matter (Hourly measured),
1414,2005,South West London,PM2.5 particulate matter (Hourly measured),
1415,2006,South West London,PM2.5 particulate matter (Hourly measured),
1416,2007,South West London,PM2.5 particulate matter (Hourly measured),
1417,2008,South West London,PM2.5 particulate matter (Hourly measured),20.059371980676328
1418,2009,South West London,PM2.5 particulate matter (Hourly measured),13.321598309730412
1419,2010,South West London,PM2.5 particulate matter (Hourly measured),14.438372515811963
1420,2011,South West London,PM2.5 particulate matter (Hourly measured),17.354287620645245
1421,2012,South West London,PM2.5 particulate matter (Hourly measured),13.552664502276757
1422,2013,South West London,PM2.5 particulate matter (Hourly measured),16.836224555542348
1423,2014,South West London,PM2.5 particulate matter (Hourly measured),
1424,2015,South West London,PM2.5 particulate matter (Hourly measured),
1425,2016,South West London,PM2.5 particulate matter (Hourly measured),
1426,2017,South West London,PM2.5 particulate matter (Hourly measured),
1427,2018,South West London,PM2.5 particulate matter (Hourly measured),
1428,2019,South West London,PM2.5 particulate matter (Hourly measured),
1429,2020,South West London,PM2.5 particulate matter (Hourly measured),
1430,2004,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),11.631702891569878
1431,2005,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),11.96573791453155
1432,2006,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),12.237865972145531
1433,2007,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),12.198261361930347
1434,2008,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),11.502066787841112
1435,2009,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),10.286653666348341
1436,2010,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),10.669508286826774
1437,2011,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),10.439104380344425
1438,2012,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),9.758064056670998
1439,2013,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),9.9703922743585
1440,2014,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),10.016992674593208
1441,2015,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),9.028487017688663
1442,2016,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),9.498990713930988
1443,2017,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),8.667444291788236
1444,2018,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),9.38640495334197
1445,2019,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),9.690723606998763
1446,2020,Surrey Heartlands,PM2.5 particulate matter (Hourly measured),7.923796628647173
1447,2004,Watford,PM2.5 particulate matter (Hourly measured),
1448,2005,Watford,PM2.5 particulate matter (Hourly measured),
1449,2006,Watford,PM2.5 particulate matter (Hourly measured),
1450,2007,Watford,PM2.5 particulate matter (Hourly measured),
1451,2008,Watford,PM2.5 particulate matter (Hourly measured),
1452,2009,Watford,PM2.5 particulate matter (Hourly measured),
1453,2010,Watford,PM2.5 particulate matter (Hourly measured),
1454,2011,Watford,PM2.5 particulate matter (Hourly measured),
1455,2012,Watford,PM2.5 particulate matter (Hourly measured),
1456,2013,Watford,PM2.5 particulate matter (Hourly measured),
1457,2014,Watford,PM2.5 particulate matter (Hourly measured),
1458,2015,Watford,PM2.5 particulate matter (Hourly measured),
1459,2016,Watford,PM2.5 particulate matter (Hourly measured),13.86352449223417
1460,2017,Watford,PM2.5 particulate matter (Hourly measured),9.046639613228374
1461,2018,Watford,PM2.5 particulate matter (Hourly measured),9.268622047463213
1462,2019,Watford,PM2.5 particulate matter (Hourly measured),9.476284379011851
1463,2020,Watford,PM2.5 particulate matter (Hourly measured),7.877281834536983
1464,2020,Buckinghamshire,Sulphur dioxide,
1465,2004,Ealing,Sulphur dioxide,10.043231944507777
1466,2005,Ealing,Sulphur dioxide,8.370424824312302
1467,2006,Ealing,Sulphur dioxide,6.206311289688668
1468,2007,Ealing,Sulphur dioxide,6.530477737026352
1469,2008,Ealing,Sulphur dioxide,5.656651844069671
1470,2009,Ealing,Sulphur dioxide,10.177289388025422
1471,2010,Ealing,Sulphur dioxide,8.950074745199544
1472,2011,Ealing,Sulphur dioxide,4.750594092342186
1473,2012,Ealing,Sulphur dioxide,1.2119531815217388
1474,2013,Ealing,Sulphur dioxide,
1475,2014,Ealing,Sulphur dioxide,
1476,2015,Ealing,Sulphur dioxide,
1477,2016,Ealing,Sulphur dioxide,
1478,2017,Ealing,Sulphur dioxide,
1479,2018,Ealing,Sulphur dioxide,
1480,2019,Ealing,Sulphur dioxide,
1481,2020,Ealing,Sulphur dioxide,
1482,2004,East Berkshire,Sulphur dioxide,
1483,2005,East Berkshire,Sulphur dioxide,
1484,2006,East Berkshire,Sulphur dioxide,
1485,2007,East Berkshire,Sulphur dioxide,
1486,2008,East Berkshire,Sulphur dioxide,
1487,2009,East Berkshire,Sulphur dioxide,
1488,2010,East Berkshire,Sulphur dioxide,
1489,2011,East Berkshire,Sulphur dioxide,
1490,2012,East Berkshire,Sulphur dioxide,
1491,2013,East Berkshire,Sulphur dioxide,
1492,2014,East Berkshire,Sulphur dioxide,
1493,2015,East Berkshire,Sulphur dioxide,
1494,2016,East Berkshire,Sulphur dioxide,
1495,2017,East Berkshire,Sulphur dioxide,
1496,2018,East Berkshire,Sulphur dioxide,
1497,2019,East Berkshire,Sulphur dioxide,
1498,2020,East Berkshire,Sulphur dioxide,
1499,2004,Hammersmith and Fulham,Sulphur dioxide,9.171104938437788
1500,2005,Hammersmith and Fulham,Sulphur dioxide,8.271812482762467
1501,2006,Hammersmith and Fulham,Sulphur dioxide,6.0460267731180295
1502,2007,Hammersmith and Fulham,Sulphur dioxide,4.742114370779755
1503,2008,Hammersmith and Fulham,Sulphur dioxide,
1504,2009,Hammersmith and Fulham,Sulphur dioxide,
1505,2011,Hammersmith and Fulham,Sulphur dioxide,
1506,2012,Hammersmith and Fulham,Sulphur dioxide,
1507,2013,Hammersmith and Fulham,Sulphur dioxide,
1508,2014,Hammersmith and Fulham,Sulphur dioxide,
1509,2015,Hammersmith and Fulham,Sulphur dioxide,
1510,2016,Hammersmith and Fulham,Sulphur dioxide,
1511,2017,Hammersmith and Fulham,Sulphur dioxide,
1512,2018,Hammersmith and Fulham,Sulphur dioxide,
1513,2019,Hammersmith and Fulham,Sulphur dioxide,
1514,2020,Hammersmith and Fulham,Sulphur dioxide,
1515,2004,Hillingdon,Sulphur dioxide,
1516,2005,Hillingdon,Sulphur dioxide,
1517,2006,Hillingdon,Sulphur dioxide,
1518,2007,Hillingdon,Sulphur dioxide,
1519,2008,Hillingdon,Sulphur dioxide,
1520,2009,Hillingdon,Sulphur dioxide,
1521,2010,Hillingdon,Sulphur dioxide,
1522,2011,Hillingdon,Sulphur dioxide,
1523,2012,Hillingdon,Sulphur dioxide,
1524,2013,Hillingdon,Sulphur dioxide,
1525,2014,Hillingdon,Sulphur dioxide,
1526,2015,Hillingdon,Sulphur dioxide,
1527,2016,Hillingdon,Sulphur dioxide,
1528,2017,Hillingdon,Sulphur dioxide,
1529,2018,Hillingdon,Sulphur dioxide,
1530,2019,Hillingdon,Sulphur dioxide,
1531,2020,Hillingdon,Sulphur dioxide,
1532,2004,Hounslow,Sulphur dioxide,4.155740473629969
1533,2005,Hounslow,Sulphur dioxide,4.029333474825582
1534,2006,Hounslow,Sulphur dioxide,3.0333280360619392
1535,2007,Hounslow,Sulphur dioxide,2.696676343647221
1536,2008,Hounslow,Sulphur dioxide,2.80684266907085
1537,2009,Hounslow,Sulphur dioxide,7.971789457802902
1538,2010,Hounslow,Sulphur dioxide,0.8519104084321476
